"date","Ford","SP500"
"2010-01-04",10.14,1132.99
"2010-01-05",10.81,1136.52
"2010-01-06",11.22,1137.14
"2010-01-07",11.5,1141.69
"2010-01-08",11.53,1144.98
"2010-01-11",11.95,1146.98
"2010-01-12",11.71,1136.22
"2010-01-13",11.52,1145.68
"2010-01-14",11.6,1148.46
"2010-01-15",11.44,1136.03
"2010-01-19",11.59,1150.23
"2010-01-20",11.35,1138.04
"2010-01-21",11.03,1116.48
"2010-01-22",10.38,1091.76
"2010-01-25",10.88,1096.78
"2010-01-26",11.04,1092.17
"2010-01-27",11.39,1097.5
"2010-01-28",11.26,1084.53
"2010-01-29",10.69,1073.87
"2010-02-01",10.97,1089.19
"2010-02-02",11.24,1103.32
"2010-02-03",11.48,1097.28
"2010-02-04",10.91,1063.11
"2010-02-05",10.76,1066.19
"2010-02-08",10.82,1056.74
"2010-02-09",11,1070.52
"2010-02-10",10.79,1068.13
"2010-02-11",11.03,1078.47
"2010-02-12",10.97,1075.51
"2010-02-16",11.17,1094.87
"2010-02-17",11.33,1099.51
"2010-02-18",11.23,1106.75
"2010-02-19",11.14,1109.17
"2010-02-22",11.06,1108.01
"2010-02-23",11.44,1094.6
"2010-02-24",11.57,1105.24
"2010-02-25",11.62,1102.94
"2010-02-26",11.58,1104.49
"2010-03-01",12.24,1115.71
"2010-03-02",12.05,1118.31
"2010-03-03",12.52,1118.79
"2010-03-04",12.62,1122.97
"2010-03-05",12.82,1138.7
"2010-03-08",12.75,1138.5
"2010-03-09",12.63,1140.45
"2010-03-10",12.65,1145.61
"2010-03-11",12.73,1150.24
"2010-03-12",13.16,1149.99
"2010-03-15",13.22,1150.51
"2010-03-16",13.31,1159.46
"2010-03-17",13.91,1166.21
"2010-03-18",13.54,1165.83
"2010-03-19",13.11,1159.9
"2010-03-22",13.8,1165.81
"2010-03-23",13.71,1174.17
"2010-03-24",13.71,1167.72
"2010-03-25",13.61,1165.73
"2010-03-26",13.67,1166.59
"2010-03-29",13.39,1173.22
"2010-03-30",13.1,1173.27
"2010-03-31",12.4,1169.43
"2010-04-01",12.46,1178.1
"2010-04-05",12.6,1187.44
"2010-04-06",12.53,1189.44
